country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Portugal,"Bucelas is the heart of Arinto in Portugal, used also to make sparkling wines. This lightly oak-aged wine has a smooth, honeyed character, rich white fruits and balanced acidity. It is generous and structured, full of spice and fruit and is likely to age. Drink from 2017.",Reserva,90,,Bucelas,,,Roger Voss,@vossroger,Quinta do Boição 2014 Reserva Arinto (Bucelas),Arinto,Quinta do Boição
Portugal,"Vineyards just across the hills from the Douro have produced this ripe wine. It has fine acidity that gives freshness to the apple, peach and ripe pear fruits. The aftertaste is bright, tight with minerality and citrus. Drink now.",Branco,88,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa do Valle 2015 Branco White (Vinho Verde),Portuguese White,Casa do Valle
France,"With light flavors of ripe red fruits balanced by fresh acidity, this rosé sparkler is full in the mouth and deliciously fruity. A lively mousse gives lift to the fresh aftertaste.",Brut Rosé,89,26.0,France Other,Crémant de Jura,,Roger Voss,@vossroger,Domaine Rolet Père et Fils NV Brut Rosé Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils
US,"This Bordeaux-style blend enters with a sharp, tannic, rough-hewn mouthfeel. The fruit may be ripe enough, but the hot finish makes it difficult to taste.",Boushey Vineyard Banere,83,27.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Capstone Cellars 2009 Boushey Vineyard Banere Red (Yakima Valley),Bordeaux-style Red Blend,Capstone Cellars
Portugal,"From 24 different varieties of old vines, this wine is rich, bold and ripe. Without any wood aging, it is solid with tannins and dense structure. There is a juicy background coming from the blackberry and damson fruits. Drink this serious, ageworthy wine from 2019.",O Oenólogo Vinhas Velhas,92,35.0,Dão,,,Roger Voss,@vossroger,Casa da Passarella 2013 O Oenólogo Vinhas Velhas Red (Dão),Portuguese Red,Casa da Passarella
US,"This is a hugely flavored, extracted Pinot Noir, distinctly Californian in its ripeness and size. It's massive in cherries and raspberries, with hints of cocoa, anise, Indian spices and black pepper. With 60% new French oak, it's also pretty toasty. A bit ungainly now, but should gain in the cellar. Better after 2013.",Freestone Hills,90,40.0,California,Sonoma Coast,Sonoma,,,Sonoma Coast Vineyards 2007 Freestone Hills Pinot Noir (Sonoma Coast),Pinot Noir,Sonoma Coast Vineyards
Argentina,"Funky at first and simply not as smooth, pure and clean as Catena's Nicasia and Adrianna Malbecs, which are the components of this wine. Argentino in 2007 is deep and dark like always, with coconut and cassis aromas preceding a sweet, ultrarich palate that's teetering on candied. Quite oaky and chocolaty as well, with brown sugar and depth to the finish. Drink now through 2014.",Argentino,92,120.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Catena Zapata 2007 Argentino Malbec (Mendoza),Malbec,Bodega Catena Zapata
US,"This is made in a delicate, acidic and bone dry style. Some will say it lacks richness—and it does, by Napa standards. But it's quite an elegant wine, silky and light, with a hint of blackberry and tobacco flavor.",,87,20.0,California,Paicines,Central Coast,,,Donati 2008 Merlot (Paicines),Merlot,Donati
Australia,"d'Arenberg has a quartet of sweet wines from 2008, and this blend of Viognier, Pinot Gris and Marsanne represents a terrific value. It's syrupy sweet, redolent of honey-drizzled, spiced poached pears. To quibble, it could be a touch more complex and crisp, but it is still a succulent mouthful of dessert wine for drinking over the next few years.",The Noble Mud Pie Viognier-Pinot Gris-Marsanne,92,19.0,South Australia,Adelaide,,Joe Czerwinski,@JoeCz,D'Arenberg 2008 The Noble Mud Pie Viognier-Pinot Gris-Marsanne White (Adelaide),White Blend,D'Arenberg
Italy,"This dazzling red boasts aromas of wild berry, chopped herb, violet and a whiff of truffle. The linear balanced palate also boasts surprising structure for the vintage, delivering juicy wild cherry, licorice and clove alongside silky elegant tannins and bright acidity. Incredibly enjoyable, one bottle may not be enough.",Rossofonte,91,,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Ciacci Piccolomini d'Aragona 2014 Rossofonte  (Rosso di Montalcino),Sangiovese,Ciacci Piccolomini d'Aragona
South Africa,"A vibrant nose of grapefruit and flowers leads on this complex but lively Sauvignon from lauded winemaker Gottfried Mocke. On the palate, the oak-aged wine offers crispness and more tropical fruit and citrus, with a touch of minerality and spice on the finish. An excellent, elegant wine that can handle both typical SB dishes (seafood, salads) as well as heartier fare.",Reserve,91,21.0,Franschhoek,,,Susan Kostrzewa,@suskostrzewa,Chamonix 2006 Reserve Sauvignon Blanc (Franschhoek),Sauvignon Blanc,Chamonix
Italy,"Made with Merlot and Cabernet Sauvignon, this opens with aromas of purple flower and red berry while the simple palate doles out dried cherry, cranberry and a confectionery note. A bitter almond note marks the close.",,86,16.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Poggioventoso 2015 Rosato (Toscana),Rosato,Poggioventoso
US,"Despite the relatively high alcohol and scents of slightly cooked, raisined fruit, this comes across as rather thin and stiff. The fruit lacks any sweetness, and the tannins turn chalky in the finish.",,85,30.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Plaisance Ranch 2012 Petite Sirah (Applegate Valley),Petite Sirah,Plaisance Ranch
US,"Deep elderberry and Concord-grape fruit tones are cut by cigar box and cedar galore on the nose of this bottling that employs all five red Bordeaux varieties. That woodiness dominates the palate, where juniper and pine sap meet with crushed espresso bean and graphite in the tightly wound structure.",Claret,87,18.0,California,Paicines,Central Coast,Matt Kettmann,@mattkettmann,Donati 2013 Claret Red (Paicines),Bordeaux-style Red Blend,Donati
US,"Fleshy and full-figured, this wine is made in a big, expansive style. It's rounded in vanillin oak and a bite of honeycomb, with lighter accompaniments of mango and pear.",Cannon Block Estate Grown,87,26.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Lawer 2014 Cannon Block Estate Grown Chardonnay (Knights Valley),Chardonnay,Lawer
US,"Light sage, thyme and earth aromas top the ripe blackberry and plum flavors of this well-built, rich and fruity wine. Full bodied, it has soft tannins and a touch of candied fruit on the finish.",Old Vine Estate Bottled,88,28.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Lava Cap 2014 Old Vine Estate Bottled Zinfandel (El Dorado),Zinfandel,Lava Cap
France,"Big, bold and rich wine, solidly tannic, firm and ripe. Vivid black plum flavors scroll across the palate giving a full, firm, right up front feel. The wine has great texture, weight and density. It also has an impressive future, so drink from 2017.",Clos Triguedina Probus,92,40.0,Southwest France,Cahors,,Roger Voss,@vossroger,Jean-Luc Baldès 2011 Clos Triguedina Probus Malbec (Cahors),Malbec,Jean-Luc Baldès
Spain,"Dense and meaty up-front, this opens with aromas of mulled berry and savory spices. An almost mean tannic bite on a narrow palate offers little cushion or support, while blackberry, chocolate and mint flavors finish like bricks in the mouth due to fierce tannins. Drink or hold.",Solideo Reserva 25 Meses,88,50.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Dehesa de los Canónigos 2011 Solideo Reserva 25 Meses  (Ribera del Duero),Tempranillo Blend,Dehesa de los Canónigos
Argentina,"Earthy berry aromas come with a touch of compost and rubber. This feels juicy, racy and slick, with red plum and raspberry leading the flavor charge. A fresh, lightly herbal finish is the final act.",,87,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Sottano 2012 Malbec (Mendoza),Malbec,Sottano
US,"Made with no oak, this pretty wine stars fresh fruit and clean acidity. With orange, honeysuckle, melon, mineral and vanilla flavors, it has a mouthfeel midway between a crisp Sauvignon Blanc and a creamy Chardonnay. Production was low, only 559 cases, but worth a search.",Paragon Vineyard,91,17.0,California,Edna Valley,Central Coast,,,Tangent 2009 Paragon Vineyard Grenache Blanc (Edna Valley),Grenache Blanc,Tangent
US,"Ripe yellow apples and peach elements are cut with lime peels and cement aromas on this blend of 46% Roussanne, 44% Grenache Blanc and 10% Viognier. It's focused and clean upon sipping, with tight pears, nectarine and white peach flavors, even showing some crushed ant tension.",Z Blanc,92,20.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Zaca Mesa 2012 Z Blanc White (Santa Ynez Valley),Rhône-style White Blend,Zaca Mesa
Italy,"This blend of Cabernet Sauvignon and Merlot opens with aromas of cherry liqueur and cassis, followed by accents of leather and toasted nut. The palate is tight and fresh, and it offers touches of citrus and forest fruit.",Casa al Piano,88,18.0,Tuscany,Bolgheri,,,,Antonino Tringali-Casanuova 2010 Casa al Piano  (Bolgheri),Red Blend,Antonino Tringali-Casanuova
US,"From the producer's Old Vineyard Block, and blended with 20% Petite Sirah and 5% Syrah, this wine has a rustic barnyardy quality. It offers a tightness of dried herb around broad, sweet tannins, strawberry jam and chocolate.",Mountain Cuvée Estate,84,24.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Gustafson Family 2012 Mountain Cuvée Estate Zinfandel (Dry Creek Valley),Zinfandel,Gustafson Family
Italy,"Here's a feminine and delicate rosé with subtle shadings of spring flowers and sweet forest berries. There's a green, bramble-like quality that gives the wine a fresh, menthol edge. It tastes slightly sweet and even has a tiny touch of effervescence.",Zaleo,86,,Veneto,Veronese,,,,Aldegheri 2007 Zaleo Rosé (Veronese),Rosé,Aldegheri
Italy,"Juicy, structured and delicious, this full-bodied wine doles out ripe blackberry, crushed raspberry, red cherry, white pepper, clove and licorice. Racy acidity and fine-grained tannins provide support.",Priòra,90,30.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Fratelli Alessandria 2013 Priòra  (Barbera d'Alba Superiore),Barbera,Fratelli Alessandria
US,"Co-fermented with a small quantity of Viognier, this Syrah was aged in 100% new oak. It's flashy and completely satisfying to drink now. Starts a little soft and dry, then explodes midpalate into a burst of cherry and raspberry fruit, with creamy, caramelized notes. The finish is long-lasting and elegant.",Über,93,50.0,California,Santa Barbara County,Central Coast,,,Margerum 2006 Über Syrah (Santa Barbara County),Syrah,Margerum
Australia,"Fans of structured Chard should give this a try. Ripe citrus flavors are subtly framed by toasty oak in a medium-bodied wine that finishes crisp and minerally. Good now, but should last through 2010.",Single Vineyard,90,27.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Wise 2005 Single Vineyard Chardonnay (Western Australia),Chardonnay,Wise
US,"An earthy, leathery aromatic character carries over to the palate of this wine, joined by ripe plum flavors. The blend here is 53% Mourvèdre and 47% Syrah, feeling full-bodied, firmly tannic and ready for cassoulet.",Adrian,87,28.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Le Casque 2014 Adrian Red (Sierra Foothills),Rhône-style Red Blend,Le Casque
US,"This blend of Merlot, Malbec, Petite Sirah and Cabernet Sauvignon is powerful and rich. Aromas of baked black currant, vanilla and brioche are inviting, as are the palate's black cherry and cola flavors. The tannins are a tad chunky, but a grilled steak will take care of them.",Proprietary,90,25.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Smith & Hook 2014 Proprietary Red (Central Coast),Red Blend,Smith & Hook
Italy,"Dried violet, plum cake and exotic spice aromas lead the way on this brawny, structured wine. The firm palate delivers dried black cherry, blackberry extract, licorice and tobacco alongside round, chewy tannins.",Col de la Bastia,91,90.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Fattori 2012 Col de la Bastia  (Amarone della Valpolicella),Red Blend,Fattori
US,"Fine in acidity and elegantly dry, this is a glorious Cabernet, marked with intensely ripe flavors of blackberry and black currant. Delicious and ripe, it's sturdy in tannins. Really needs some time to come around. Best from 2015–2021 or so.",Rockfall,93,75.0,California,Alexander Valley,Sonoma,,,Stonestreet 2009 Rockfall Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Stonestreet
Italy,"Considered the flagship of the century-old Sella & Mosca fleet, this edition of 100% Cabernet Sauvignon disappoints. The supporting structure is fine, but the cherry fruit present on the nose and palate is too lean. The finish is short, too. This highly regarded wine is just not showing well at this time. Tasted twice with consistent notes.",Marchese Di Villamarina,84,35.0,Sicily & Sardinia,Sardinia,,,,Sella & Mosca 1995 Marchese Di Villamarina Cabernet Sauvignon (Sardinia),Cabernet Sauvignon,Sella & Mosca
France,"This ripe, jammy wine is all about fruit. Its red berry flavors burst from the glass and are gently backed by tannins. It is already attractive, ripe and full. Drink from 2019.",Les Vendanges,88,35.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Domaine les Carmels 2015 Les Vendanges  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Domaine les Carmels
France,"This is soft and smooth, with acidity and a creamy character. The flavors are reminiscent of ripe pear and spice. Very ready to drink.",,85,,Alsace,Alsace,,Roger Voss,@vossroger,Bott Frères 2010 Pinot Blanc (Alsace),Pinot Blanc,Bott Frères
Israel,"Aromas of black cherry and green frying peppers prepare the palate for flavors of cherry, blackberry, green bell pepper and licorice. Smooth tannins and strong fruit flavors are slightly overcome by green notes, and the cool bell pepper finish yields soft touches of cherry.",Adama,87,22.0,Galilee,,,Mike DeSimone,@worldwineguys,Tabor 2011 Adama Merlot (Galilee),Merlot,Tabor
US,"A pulsing core of dried plum and black-cherry flavors marks this buxom Petit Verdot. While bold and brawny, a balsamic edge and fine tannins lend subtlety. Its rich, mouth-filling silkiness clings pleasantly on the finish.",Spotlight,88,50.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Sannino 2013 Spotlight Petit Verdot (North Fork of Long Island),Petit Verdot,Sannino
Italy,"This classic Brunello is slightly more closed aromatically and subdued at first, but opens to deep layers of berry fruit and exotic spice as the wine stays in the glass. Elegant flavors of almond and cassis appear as pretty accents on the long fade.",,90,42.0,Tuscany,Brunello di Montalcino,,,,Il Marroneto 2006  Brunello di Montalcino,Sangiovese Grosso,Il Marroneto
Italy,"Aromas of menthol, ripe berry, dark spice and a balsamic note lead the nose. On the straightforward palate, star anise accents dried cherry while firm tannins provide support.",,88,46.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Brezza 2012  Barolo,Nebbiolo,Brezza
France,"Fresh and light, this Champagne shows lots of lemon and lime nuances, with slight green-apple and herb notes. It may deepen and improve with age; right now it’s probably best as an aperitif.",Gold Label Brut,87,45.0,Champagne,Champagne,,,,Lanson 1994 Gold Label Brut  (Champagne),Champagne Blend,Lanson
US,"Usually employed as a blending grape, Petit Verdot stands on its own two feet here, yielding a dry, sophisticated wine. With a full body and sizable tannins, it's rich and aromatic with blackberry, cassis and violet notes.",,90,60.0,California,Napa Valley,Napa,,,Flying Horse 2009 Petit Verdot (Napa Valley),Petit Verdot,Flying Horse
France,"This wine is produced from the best parcels of the estate, located an hour east of the Atlantic Ocean. The result gives an intense, concentrated character with crisp, tight lemon and pink grapefruit flavors. Still developing, the texture is mineral and nervy. The wine will benefit from a bit more time in the bottle so drink from 2016.",Essentielle,88,12.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Domaine des Tilleuls 2014 Essentielle  (Muscadet Sèvre et Maine),Melon,Domaine des Tilleuls
US,"Sanguine in cranberry, pomegranate and cherry, it has well-integrated tannins. The texture is smooth and the acidity bright. Drink now or enjoy 2019–2024.",,90,40.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Peter Paul Wines 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Peter Paul Wines
Portugal,"With a preponderance of Touriga Nacional and Tinta Roriz, this ripe, smooth wine comes from the central Douro in Pinhão. It is fruity, with attractive red fruits and acidity. Tannins are gently in the background, leaving the fruit right up front.",Carvalhas QV,87,13.0,Douro,,,Roger Voss,@vossroger,Quinta das Carvalhas 2014 Carvalhas QV Red (Douro),Portuguese Red,Quinta das Carvalhas
US,"A rich, candied Pinot Noir, filled with raspberry, cherry and mocha flavors. It's a bit simple, but deliciously so, with a crisply silky texture.",,87,30.0,California,Sta. Rita Hills,Central Coast,,,Siduri 2008 Pinot Noir (Sta. Rita Hills),Pinot Noir,Siduri
US,"Rich and velvety, it carries an important mouthfeel consisting of firm tannins, good acidity and a firm, minerally grounding. Fruit is the star, filling the mouth with blackberries and black currants, and a smoky coating of oak. With a dry finish, it's drinking very well now, and will soften through 2018.",,90,35.0,California,Napa Valley,Napa,,,Emblem 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Emblem
Argentina,"Dry, earthy berry aromas are lusty and integrated. This has a crisp snappy punchy mouthfeel that's driven by lively acidity. Savory, salty flavors of berry fruits, hard spices and tomato finish with scrubbing acidity and good length.",Maipe Reserve,89,19.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Chakana 2015 Maipe Reserve Bonarda (Mendoza),Bonarda,Chakana
France,"This rich wine features ripe, jammy red-plum and cherry fruits. It is dense, with its tannins and a touch of pepper coming from the high alcohol. The wine is a blend from five parcels. Ripe and with a juicy aftertaste, it will be best from 2018.",Vuril,88,22.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Domaine Bertrand 2015 Vuril  (Brouilly),Gamay,Domaine Bertrand
New Zealand,"Hints of struck flint and white currant lead the way, followed by herbal, currant-like flavors and notes of fresh fig. This is medium-bodied, but with hints of creaminess to its texture and a long, wet-stone finish.",Estate Grown,91,20.0,Marlborough,,,Joe Czerwinski,@JoeCz,Omaka Springs 2014 Estate Grown Sauvignon Blanc (Marlborough),Sauvignon Blanc,Omaka Springs
US,"The nose and palate of this wine are quite mellow for the first few hours after opening but grow more compelling with time, so decanting is strongly recommended. Pepper, subtle blueberry, coffee and slate aromas lead into chocolate, black plum, charcoal and soy flavors on the palate.",Bell Ranch Vineyard,88,50.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Boekenoogen 2014 Bell Ranch Vineyard Cabernet Sauvignon (Monterey),Cabernet Sauvignon,Boekenoogen
Germany,"The nose of this pretty kabinett starts off demure, wafting fresh grapefruit, sage and lavender scents. The palate, by contrast, boasts tropical mango and berry tones. Boldly concentrated and brisk in acidity, it's a punchy, four-square Riesling with appeal well into the 2020s.",Wehlener Sonnenuhr Kabinett,91,27.0,Mosel,,,Anna Lee C. Iijima,,Dr. Pauly Bergweiler 2015 Wehlener Sonnenuhr Kabinett Riesling (Mosel),Riesling,Dr. Pauly Bergweiler
US,"Just what you want in a rosé, at a good price. It's a robust wine, dryish and spicy, with a creamy mouthfeel framing pleasant raspberry, cherry, prosciutto and vanilla flavors.",Lot 256,87,12.0,California,Napa Valley,Napa,,,Cameron Hughes 2010 Lot 256 Rosé (Napa Valley),Rosé,Cameron Hughes
France,Heavy toast aromas follow through to a wine that is packed with new wood and some fruit. It has a biting burnt edge that may soften.,Clos Bourbon,83,14.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Bourbon 2010 Clos Bourbon  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Château Bourbon
France,"A ripe and rich wine, this is full of jammy red fruits. The structure is well integrated into the fruits, giving a smooth, ripe wine that's developing attractively. With a juicy, fresh aftertaste, it is ready to drink, although it will be better from 2017.",,90,35.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Roger et Didier Raimbault 2014  Sancerre,Pinot Noir,Roger et Didier Raimbault
US,"Quite oaky, the barrel flavors not yet integrated into the fruit, this starts out rough, then rolls into clean, light, pleasant boysenberry fruit flavors. Should continue to improve with more time in the bottle.",McKinley Springs Vineyard,88,33.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2008 McKinley Springs Vineyard Syrah (Horse Heaven Hills),Syrah,Mercer
Italy,"This has earthy aromas suggesting underbrush, new leather, menthol and truffle, along with a whiff of medicinal herb. The palate is tightly wound and still rather closed, offering hints of espresso, anise and raw berry framed by drying, close-grained tannins.",Montaribaldi,88,50.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Nada Fiorenzo 2013 Montaribaldi  (Barbaresco),Nebbiolo,Nada Fiorenzo
Italy,Piccini's nod to the '90s (the other wines are fairly traditional) is this internationally styled “mini Tuscan” that blends ripe plum fruit with the chocolate and vanilla flavors imparted by oak.,Patriale,86,10.0,Tuscany,Toscana,,,,Piccini 1999 Patriale Sangiovese (Toscana),Sangiovese,Piccini
US,"Lots of rich delights in this fruity blend of Syrah, Mourvèdre, Zinfandel and Grenache. It's a bit rustic, with zingy acidity, but beautifully layered, with flavors of wild berries, cherries, tobacco, crisp smoky bacon and sweet oak.",Red X,87,15.0,California,North Coast,North Coast,,,X 2009 Red X Red (North Coast),Red Blend,X
South Africa,"The assertive elegance of a French Bordeaux is present here, but the Fusion also has a South African edge to it that gives it extra appeal. The nose, a subtle layering of luscious berry, minerality and spice, rolls into a clean, taut but flirty combination of plum and pepper, edged very quietly by tobacco smoke. Serious but with a feminine touch, this wine is made for food pairing.",Fusion V,91,45.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,De Toren 2005 Fusion V Red (Stellenbosch),Bordeaux-style Red Blend,De Toren
Italy,"Perfumed and elegantly structured, this impressive wine is the estate's traditionally crafted Barolo. It offers scents of fragrant berry, rose, iris and tilled soil while the focused palate offers juicy wild cherry, raspberry, chopped mint, licorice and baking spice. A backbone of firm, refined tannins provides the framework. Drink 2019–2031.",Turnè,92,,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Silvio Grasso 2011 Turnè  (Barolo),Nebbiolo,Silvio Grasso
US,"This Lake County Sangiovese tastes slightly green and acidified at first before its bright, tight red cherry fruit makes its way through.",Roumiguiere,86,20.0,California,Clear Lake,,Virginie Boone,@vboone,Rosa d'Oro 2009 Roumiguiere Sangiovese (Clear Lake),Sangiovese,Rosa d'Oro
US,"Juicy and supple, this wine astounds with its ability to be generously broad in appeal yet with undeniable complexity and tension. Its soft texture betrays chalky tannic grip, while its fruit and spice attributes—a mix of cardamon, clove and brambly berry—become increasingly intense.",Ganymede Vineyard Estate Grown,94,155.0,California,Stags Leap District,Napa,Virginie Boone,@vboone,Chimney Rock 2014 Ganymede Vineyard Estate Grown Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Chimney Rock
France,"This is a beautifully made wine from a great vintage. It is still young and very fresh, although its flavors are now deepening and filling out. Ripe apple, white fruits and a tangy edge of lime zest are balanced by a complex texture along with good acidity. Drink the wine now and until 2020.",Brut Vintage,93,,Champagne,Champagne,,Roger Voss,@vossroger,Joseph Perrier 2004 Brut Vintage  (Champagne),Champagne Blend,Joseph Perrier
Italy,"Made with grapes cultivated with organic and biodynamic methods, this opens with aromas of pressed white flower, honey, toasted hazelnut and mature orchard fruit. The vibrant, linear palate doles out mature yellow apple, honeydew melon and white almond alongside bright acidity.",Vigna della Madonnina Riserva,88,,Piedmont,Gavi,,Kerin O’Keefe,@kerinokeefe,La Raia 2013 Vigna della Madonnina Riserva  (Gavi),Cortese,La Raia
Germany,"Herbaceous, with notes of fresh leaves, green florals and honeydew, this bargain eiswein is ethereally delicate on the palate. It's honeyed in sweetness, but briskly composed, with sharp lemon acidity.",Eiswein,86,30.0,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2012 Eiswein Riesling (Rheinhessen),Riesling,Heinz Eifel
France,"While the wine is full bodied and rich, it is also deliciously fresh and with lively fruitiness. There is great acidity here, a bright layer of red currant fruits and wild strawberries, making it a good food rosé.",Le Château,88,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Thuerry 2013 Le Château Rosé (Côtes de Provence),Rosé,Château Thuerry
US,"This is an impressive undertaking, made from estate vineyards across the region, all certified sustainable. Medium in build and intensity, it allows acidity to balance out the strong, interwoven tannin and power to remain buoyant in high-toned cherry and currant. It finishes with a flourish of cinnamon spice.",Grand Reserve,91,26.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Kendall-Jackson 2013 Grand Reserve Merlot (Sonoma County),Merlot,Kendall-Jackson
US,"Pretty tannic now, with underlying fruity flavors of plum, blackberry, herbs and earth. Drinks very dry and a bit austere, and there's tartness in the dusty finish. May gain with an additional year or two of age.",,85,19.0,California,Sonoma County,Sonoma,,,Benziger 1999 Merlot (Sonoma County),Merlot,Benziger
France,"Ripe aromas of peach, melon, apple and pineapple unfold on the nose of this wine, with additional hints of hay and flint that add an earthy streak. The light-weight palate shows a soft prickle of acidity that then fades quickly on the finish, feeling a touch flat. Drink now.",Cuvée Classique,86,18.0,Languedoc-Roussillon,Corbières,,Lauren Buzzeo,@laurbuzz,Château Ollieux Romanis 2013 Cuvée Classique White (Corbières),Rhône-style White Blend,Château Ollieux Romanis
US,"This could be Chardonnay, or any light white wine. Fruit flavors are apple and pear; there's lots of acidity. A simple, pleasant, everyday style.",LEHM,85,20.0,Washington,Chelan County,Washington Other,Paul Gregutt,@paulgwine ,Vin du Lac 2008 LEHM Pinot Gris (Chelan County),Pinot Gris,Vin du Lac
South Africa,"Subtle aromas of red fruit and pepper lead on this easygoing red. The palate ffers a good balance of red fruit, spice, medium tannins and a zesty finish. An interesting alternative that will pair well with BBQ, grilled ribs. Imported by Racke USA.",,83,10.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Golden Kaan 2005 Pinotage (Western Cape),Pinotage,Golden Kaan
US,"The winery's high-end cuvée, this is a five-barrel blend, three of the barrels new. Dancing in cardamom and dark cherry, the background ripe and toasty, the flavors are exotic and long lingering. There's a tension and intensity to this wine that bests speaks to aging, or a full decant; either way, it'll be delicious.",Five Sisters,91,100.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Lynmar 2012 Five Sisters Pinot Noir (Russian River Valley),Pinot Noir,Lynmar
Italy,"Fragrant and fresh, this offers scents of blue flowers, wild berry, moist earth, chopped herbs and a hint of baking spice. The vibrant, supple palate doles out juicy black cherry, crushed raspberry, white pepper and star anise alongside fresh acidity. It's made to be enjoyed young so drink through 2016.",Brichet,91,24.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Ca' Viola 2013 Brichet  (Barbera d'Alba),Barbera,Ca' Viola
US,"Not noticeably sweet, despite its low alcohol, this is a bowl full of crisp, green apple fruit. Clean and simple.",,86,20.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Lazy River 2011 Pinot Gris,Pinot Gris,Lazy River
France,"Considering the relatively light nature of the vintage, this wine has been overmanipulated. Hard tannins and a bitter chocolate flavor are all too much for the fruit. A gentler approach would have been better.",,86,35.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château du Parc 2013  Saint-Émilion,Bordeaux-style Red Blend,Château du Parc
US,"Lots of exotic tropical papayas and guavas in this soft, honeyed Chard. It's rich and creamy, yet shows enough acidity to lend it balance. Great to drink with lobster, crab, scallops.",Grand Reserve,89,25.0,California,Santa Barbara-Monterey,North Coast,,,Kendall-Jackson 2011 Grand Reserve Chardonnay (Santa Barbara-Monterey),Chardonnay,Kendall-Jackson
US,"This is a Merlot-dominant blend, with 30% Cabernet Sauvignon and 15% Cabernet Franc blended in. It offers cooler-climate elements of dried herb, cedar and currant, with the tannins sleek and polished. The finish flirts with a taste of coconut. Drink now through 2021.",Arise,91,54.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Blackbird Vineyards 2013 Arise Red (Napa Valley),Red Blend,Blackbird Vineyards
US,"Entirely from Mario's Vineyard grapes, this opens in burly black pepper and cigar box, a powerfully concentrated expression of the variety that's big in persistent tannin and oak, yielding a dry dustiness on the finish.",Mario's Vineyard,88,50.0,California,St. Helena,Napa,Virginie Boone,@vboone,Trinchero 2012 Mario's Vineyard Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Trinchero
